종목,현재가,등락률,거래량,시가총액(원),링크
현대약품,10040,-0.79%,11965877,321280000000.0,https://stock.naver.com/domestic/stock/004310/price
광전자,10400,-2.44%,11822124,602615000000.0,https://stock.naver.com/domestic/stock/017900/price
삼성전자,253000,1.81%,11260935,1479108487000000,https://stock.naver.com/domestic/stock/005930/price
티엠씨,13220,2.01%,5285734,318525000000.0,https://stock.naver.com/domestic/stock/217590/price
후성,14680,-0.68%,4859526,1574508000000.0,https://stock.naver.com/domestic/stock/093370/price
금호전기,11040,2.22%,4404858,137553000000.0,https://stock.naver.com/domestic/stock/001210/price
흥아해운,1811,0.5%,4039029,435409000000.0,https://stock.naver.com/domestic/stock/003280/price
대우건설,18600,-2.77%,3870583,7642882000000.0,https://stock.naver.com/domestic/stock/047040/price
삼성전자우,193800,3.58%,3512670,155499539000000,https://stock.naver.com/domestic/stock/005935/price
SK하이닉스,1751000,3.61%,2737869,1279092131000000,https://stock.naver.com/domestic/stock/000660/price
카프로,43,-2.27%,2653857,7266000000.0,https://stock.naver.com/domestic/stock/006380/price
디와이덕양,1940,15.54%,2536425,63176000000.0,https://stock.naver.com/domestic/stock/024900/price
한국화장품제조,14860,0.34%,2332276,336727000000.0,https://stock.naver.com/domestic/stock/003350/price
삼성중공업,20300,-1.93%,2266357,17864000000000,https://stock.naver.com/domestic/stock/010140/price
KEC,2960,7.64%,2207446,118851000000.0,https://stock.naver.com/domestic/stock/092220/price
우리금융지주,36150,-0.55%,2175599,26634834000000,https://stock.naver.com/domestic/stock/316140/price
한화갤러리아,2595,5.7%,2170588,503065000000.0,https://stock.naver.com/domestic/stock/452260/price
LG디스플레이,8480,-1.51%,2143087,4240000000000.0,https://stock.naver.com/domestic/stock/034220/price
두산에너빌리티,84000,-2.55%,2075385,53807136000000,https://stock.naver.com/domestic/stock/034020/price
팬오션,5800,2.11%,1930592,3100503000000.0,https://stock.naver.com/domestic/stock/028670/price
빛과전자,4405,6.92%,71930613,496407000000.0,https://stock.naver.com/domestic/stock/069540/price
대한광통신,16070,13.65%,42971210,2498654000000.0,https://stock.naver.com/domestic/stock/010170/price
코스나인,3,-40.0%,34729373,298000000.0,https://stock.naver.com/domestic/stock/082660/price
한국첨단소재,3310,-1.49%,31275998,99705000000.0,https://stock.naver.com/domestic/stock/062970/price
씨피시스템,4650,3.33%,27171623,169430000000.0,https://stock.naver.com/domestic/stock/413630/price
센서뷰,1334,13.73%,20335200,94210000000.0,https://stock.naver.com/domestic/stock/321370/price
빛샘전자,13570,26.82%,14528693,109273000000.0,https://stock.naver.com/domestic/stock/072950/price
동국산업,3560,15.77%,12904627,193110000000.0,https://stock.naver.com/domestic/stock/005160/price
한컴위드,5270,0.76%,12571631,148704000000.0,https://stock.naver.com/domestic/stock/054920/price
이노인스트루먼트,716,8.98%,11075860,28842000000.0,https://stock.naver.com/domestic/stock/215790/price
샌즈랩,7120,3.19%,10684585,108705000000.0,https://stock.naver.com/domestic/stock/411080/price
아톤,6010,-4.75%,9297330,147137000000.0,https://stock.naver.com/domestic/stock/158430/price
엑스게이트,16990,-3.19%,9232232,484953000000.0,https://stock.naver.com/domestic/stock/356680/price
모아데이타,284,12.7%,8857587,10332000000.0,https://stock.naver.com/domestic/stock/288980/price
카티스,3495,23.5%,8787684,37359000000.0,https://stock.naver.com/domestic/stock/140430/price
우리넷,9600,10.22%,8398844,103625000000.0,https://stock.naver.com/domestic/stock/115440/price
우리로,7240,1.83%,8295208,317292000000.0,https://stock.naver.com/domestic/stock/046970/price
수성웹툰,134,-4.96%,8209032,2421000000.0,https://stock.naver.com/domestic/stock/084180/price
SFA반도체,8860,3.02%,8134544,1457118000000.0,https://stock.naver.com/domestic/stock/036540/price
한켐,9600,17.65%,7406394,77444000000.0,https://stock.naver.com/domestic/stock/457370/price
