연도,출생아수,자연증가건수,조출생률,자연증가율,합계출산율,출생성비,출생아수_만명,출생아수_증감률,연대
1970,1006645,748056,31.2,23.2,4.53,109.5,100.6645,,1970년대
1971,1024773,787245,31.2,23.9,4.54,109.0,102.4773,1.8008334616473443,1970년대
1972,952780,742709,28.4,22.2,4.12,109.5,95.278,-7.025263155840367,1970년대
1973,965521,698061,28.3,20.5,4.07,104.6,96.5521,1.3372446944730054,1970년대
1974,922823,674016,26.6,19.4,3.77,109.4,92.2823,-4.422275641855533,1970년대
1975,874030,603373,24.8,17.1,3.43,112.4,87.403,-5.2873627987165435,1970년대
1976,796331,529474,22.2,14.8,3.0,110.7,79.6331,-8.88974062675194,1970년대
1977,825339,576085,22.7,15.8,2.99,104.2,82.5339,3.642706362052972,1970년대
1978,750728,498430,20.3,13.5,2.64,111.3,75.0728,-9.040042939931347,1970년대
1979,862669,622683,23.0,16.6,2.9,106.4,86.2669,14.91099306273378,1970년대
1980,862835,585551,22.6,15.4,2.82,105.3,86.2835,0.019242606376268512,1980년대
1981,867409,629928,22.4,16.3,2.57,107.1,86.7409,0.5301129416400485,1980년대
1982,848312,602545,21.6,15.3,2.39,106.8,84.8312,-2.2016142327321964,1980년대
1983,769155,514592,19.3,12.9,2.06,107.3,76.9155,-9.331118739331757,1980년대
1984,674793,438348,16.7,10.8,1.74,108.3,67.4793,-12.26826842443981,1980년대
1985,655489,415071,16.1,10.2,1.66,109.4,65.5489,-2.860729142122098,1980년대
1986,636019,396763,15.4,9.6,1.58,111.7,63.6019,-2.9703015611245998,1980년대
1987,623831,380327,15.0,9.1,1.53,108.8,62.3831,-1.9162949534526463,1980년대
1988,633092,397313,15.1,9.5,1.55,113.2,63.3092,1.4845366774014046,1980년대
1989,639431,402613,15.1,9.5,1.56,111.8,63.9431,1.0012762758019322,1980년대
1990,649738,408122,15.2,9.5,1.57,116.5,64.9738,1.6119018314720401,1990년대
1991,709275,467005,16.4,10.8,1.71,112.4,70.9275,9.163231948877847,1990년대
1992,730678,494516,16.7,11.3,1.76,113.6,73.0678,3.0175883825032557,1990년대
1993,715826,481569,16.0,10.8,1.654,115.3,71.5826,-2.032632705514603,1990년대
1994,721185,478746,16.0,10.6,1.656,115.2,72.1185,0.7486456205837655,1990년대
1995,715020,472182,15.7,10.3,1.634,113.2,71.502,-0.8548430707793431,1990년대
1996,691226,450077,15.0,9.8,1.574,111.5,69.1226,-3.327739084221415,1990년대
1997,675394,430701,14.5,9.3,1.537,108.2,67.5394,-2.290423103297623,1990년대
1998,641594,395769,13.7,8.4,1.464,110.1,64.1594,-5.004486270236342,1990년대
1999,620668,372934,13.2,7.9,1.425,109.5,62.0668,-3.2615641667471995,1990년대
2000,640089,391349,13.5,8.2,1.48,110.1,64.0089,3.129048057898909,2000년대
2001,559934,316121,11.7,6.6,1.309,109.0,55.9934,-12.522477342994486,2000년대
2002,496911,249387,10.3,5.2,1.178,109.9,49.6911,-11.255433676111826,2000년대
2003,495036,248573,10.2,5.1,1.191,108.6,49.5036,-0.37733115185616395,2000년대
2004,476958,230738,9.8,4.8,1.164,108.2,47.6958,-3.6518556226213805,2000년대
2005,438707,192833,9.0,4.0,1.085,107.8,43.8707,-8.019783712612016,2000년대
2006,451759,207597,9.2,4.2,1.132,107.6,45.1759,2.9751063921934273,2000년대
2007,496822,250340,10.1,5.1,1.259,106.2,49.6822,9.975008798939268,2000년대
2008,465892,219779,9.4,4.4,1.192,106.4,46.5892,-6.225569721147616,2000년대
2009,444849,197907,9.0,4.0,1.149,106.4,44.4849,-4.516712027680237,2000년대
2010,470171,214766,9.4,4.3,1.226,106.9,47.0171,5.692268612495477,2010년대
2011,471265,213869,9.4,4.3,1.244,105.7,47.1265,0.2326813010585571,2010년대
2012,484550,217329,9.6,4.3,1.297,105.7,48.455,2.8190084135252924,2010년대
2013,436455,170198,8.6,3.4,1.187,105.3,43.6455,-9.925704261686096,2010년대
2014,435435,167743,8.6,3.3,1.205,105.3,43.5435,-0.23370106883870978,2010년대
2015,438420,162525,8.6,3.2,1.239,105.3,43.842,0.6855213751765454,2010년대
2016,406243,125416,7.9,2.5,1.172,105.0,40.6243,-7.339309338077637,2010년대
2017,357771,72237,7.0,1.4,1.052,106.3,35.7771,-11.931774824427743,2010년대
2018,326822,28002,6.4,0.5,0.977,105.4,32.6822,-8.650505490942528,2010년대
2019,302676,7566,5.9,0.1,0.918,105.5,30.2676,-7.388119526837233,2010년대
2020,272337,-32611,5.3,-0.6,0.837,104.8,27.2337,-10.02358958093803,2020년대
2021,260562,-57118,5.1,-1.1,0.808,105.1,26.0562,-4.323687196378012,2020년대
2022,249186,-123753,4.9,-2.4,0.778,104.7,24.9186,-4.36594745204596,2020년대
2023,230000,-122800,4.5,-2.4,0.72,105.1,23.0,-7.699469472602793,2020년대
